Rc,审核结果,上一年归母净利润（万元）,承诺期业绩增长率,前三年承诺覆盖率,静态市盈率,动态市盈率,成立年限,大股东持股比例,最近一个完整会计年度对第一大客户的销售占比,最近一个完整会计年度对第一供应商的采购占比,注入资产净资产账面值(万元),D/(D+E),总资产增长率,归母权益增长率,净利润增长率,总资产周转率,存货周转率,应收账款周转率,固定资产周转率,流动比率,资产负债率,经营杠杆（EBITDA/EBIT),（固定资产+土地）/归母权益,在建工程/归母权益,净资产收益率,毛利率,经营性现金流/收入,研发支出占比
0.015,发行股份购买资产获无条件通过,3210,0.39,0.21,33.16,17.31,37.28,1,0.33,0.14,36013.41,0.05,0.17,0.09,-0.21,0.43,1.7,6.9,4.69,1.44,0.48,1,0.26,0.53,0.1,0.38,0,0.09
0.01,发行股份购买资产获无条件通过,3147,0.99,0.16,118.73,22.99,13.88,0.32,0.02,0.09,60260.73,0.03,0.06,0.03,-0.36,0.88,92.42,-15.14,3.96,0.93,0.47,2.12,0.58,0,0.05,0.32,0.18,0
0.02,发行股份购买资产获无条件通过,3087,0.31,0.28,19.31,14.54,14.79,0.54,0.54,0.44,6790.45,0,0.09,1.68,2,0.75,6.05,-3.04,333.23,3.27,0.3,1,0,0,0.91,0.75,0.1,0.08
0.035,发行股份购买资产获有条件通过,7023,0.06,0.34,10.45,9.66,8.37,1,0.46,0.24,25827.47,0,0.1,0.16,0.22,0.7,4.66,3.59,2.19,1.17,0.39,1.14,0.56,0,0.33,0.45,0.19,0.03
0.02,发行股份购买资产获无条件通过,37881,0.23,0.41,10.59,10.03,4.33,0.49,0.42,0.1,69144,0,0.32,1.25,2.3,2.42,5.62,11.6,10.88,1.38,0.56,1.12,0.46,0,0.77,0.1,0.08,0
0.02,发行股份购买资产获无条件通过,12737,0.21,0.29,16.94,13.24,18.49,0.42,0.28,0.07,59783.16,0.13,0.13,0.26,0.19,0.89,3.73,5.31,3.57,1.07,0.66,1.56,0.94,0.01,0.22,0.09,0.11,0.03
0.02,发行股份购买资产获有条件通过,-86262,0.4,0.2,20.27,20.27,36.86,0.18,0.38,0.09,61836.24,0.1,-0.05,-1.13,3.48,1.87,4.2,1.34,3.38,0.82,4.13,0.88,-2.56,-0.22,-2.6,0.29,0,0.01
0.02,发行股份购买资产获无条件通过,1820,0.5,0.27,27.64,12.58,17.44,0.45,0.21,0.1,12873.02,0.03,0.41,0.32,3.85,0.65,3.5,1.45,15.22,3.89,0.24,1.48,0.05,0,0.13,0.57,-0.01,0
0.02,发行股份购买资产获有条件通过,2021,0.58,0.2,42.55,26.88,13.6,0.45,0.23,0.12,7847.7,0,0.51,0.43,1.53,1.06,7.43,2.47,20.38,4.59,0.25,1.09,0.07,0,0.47,0.65,0.12,0.09
0.03,发行股份购买资产获无条件通过,4480,0.42,0.29,22.44,13.97,3.63,0.99,0.17,27.97,3249.5,0,6.09,4.1,5.92,2.72,0,0.38,2223.89,1.75,0.75,1,0,0,2.31,0.28,0.07,0.04
0.025,发行股份购买资产获无条件通过,1204,0.8,0.28,58.33,11.71,15.77,0.9,0.26,0.8,26412,0.14,1.34,0.19,4.15,0.66,1.69,9,28.86,1.07,0.91,1.11,0.17,0,0.17,0.09,-0.05,0
0.02,发行股份购买资产获无条件通过,1857,0.28,0.38,13.49,10.89,6.74,0.56,0.2,0.16,7943.57,0.14,0.12,0.33,3.54,0.73,3.77,3.71,3.39,1.16,0.61,1.85,0.69,0.01,0.27,0.37,0.11,0.04
0.015,发行股份购买资产获有条件通过,16885,0.29,0.31,17.49,11.81,11.19,0.51,0.43,0.39,40732.36,0,0.36,0.72,1.46,0.97,2.91,2.38,10.09,1.81,0.5,1.12,0.19,0,0.52,0.41,0.15,0.04
0.01,发行股份购买资产获无条件通过,3615,0.37,0.23,27.87,16.79,7.45,0.63,0.72,0.29,20343.04,0,0.52,1.54,0.86,0.64,4.28,0.46,4.49,5.29,0.22,1.02,0.22,0,0.24,0.44,-0.11,0.04
0.045,发行股份购买资产获无条件通过,4684,0.47,0.41,12.85,8.03,22.1,0.65,0.36,0.2,9176.69,0.19,0,0,0,1.41,1.64,26.96,264.52,1.16,0.83,1.03,0.03,0,1.12,0.3,0.08,0
0.005,发行股份购买资产获无条件通过,2274,0.26,0.17,27.7,26.38,10.27,0.37,0.42,32.11,14073,0,0.22,0.26,0.19,0.94,7.22,4.87,130.8,12.45,0.1,1.04,0.01,0,0.22,0.39,0.2,0
0.025,发行股份购买资产获无条件通过,973,0.8,0.26,57.64,14.76,4.83,0.26,0.41,0.17,3694.99,0,0.43,0.36,9.58,0.91,5.44,5.66,3.28,1.76,0.39,1.09,0.47,0,0.3,0.46,0.31,0.06
0.04,发行股份购买资产获有条件通过,19599,0.41,0.42,15.56,10.17,17.34,1,0.4,0.2,41117.14,0.14,0.5,0.31,6.21,0.99,20.55,1.62,39.81,1.19,0.84,1.04,0.14,0,0.54,0.25,-0.02,0.03
